,Transaction Date,Transaction,Score,Running Score
201,2023-07-07 00:00:00,added A.J. Green to MIL,0,26668
202,2023-07-08 00:00:00,added Chris Livingston to MIL,0,26668
203,2023-07-08 00:00:00,added Jae Crowder to MIL,0,26668
204,2023-07-28 00:00:00,added Thanasis Antetokounmpo to MIL,0,26668
205,2023-08-29 00:00:00,added TyTy Washington Jr. to MIL,0,26668
206,2023-09-27 00:00:00,lost Jrue Holiday to POR,0,26668
207,2023-09-27 00:00:00,lost future 1st round pick to POR,0,26668
208,2023-09-27 00:00:00,lost future 1st round pick to POR,0,26668
209,2023-09-27 00:00:00,lost future 1st round pick to POR,0,26668
210,2023-09-27 00:00:00,lost Grayson Allen to PHO,0,26668
211,2023-09-27 00:00:00,added Damian Lillard to MIL,0,26668
212,2023-10-01 00:00:00,added Cameron Payne to MIL,0,26668
213,2023-10-21 00:00:00,added Marques Bolden to MIL,0,26668
