,Transaction Date,Transaction,Score,Running Score
153,2018-02-21 00:00:00,added Shaquille Harrison to PHO,0,-104897
154,2018-03-13 00:00:00,added Shaquille Harrison to PHO,-268,-105166
155,2018-06-21 00:00:00,added Deandre Ayton to PHO,0,-105166
156,2018-06-21 00:00:00,added Zhaire Smith to PHO,0,-105166
157,2018-06-21 00:00:00,added Élie Okobo to PHO,0,-105166
158,2018-06-21 00:00:00,added George King to PHO,0,-105166
159,2018-06-21 00:00:00,lost Zhaire Smith to PHI,868,-104298
160,2018-06-21 00:00:00,lost Tre Mann to PHI,0,-104298
161,2018-06-21 00:00:00,added Mikal Bridges to PHO,0,-104298
162,2018-07-03 00:00:00,added Deandre Ayton to PHO,10096,-94201
163,2018-07-03 00:00:00,added Mikal Bridges to PHO,12121,-82080
164,2018-07-03 00:00:00,added George King to PHO,-47,-82127
165,2018-07-06 00:00:00,added Trevor Ariza to PHO,-972,-83099
166,2018-07-06 00:00:00,added Élie Okobo to PHO,-6826,-89926
167,2018-07-07 00:00:00,added Devin Booker to PHO,25770,-64155
168,2018-07-20 00:00:00,added Richaun Holmes to PHO,710,-63445
169,2018-07-20 00:00:00,lost Jared Dudley to BRK,2196,-61249
170,2018-07-20 00:00:00,lost RaiQuan Gray to BRK,70,-61179
171,2018-07-20 00:00:00,added Darrell Arthur to PHO,0,-61179
172,2018-08-03 00:00:00,added Isaiah Canaan to PHO,-2313,-63493
173,2018-08-31 00:00:00,lost Marquese Chriss to HOU,1164,-62328
174,2018-08-31 00:00:00,lost Brandon Knight to HOU,1463,-60865
175,2018-08-31 00:00:00,added Ryan Anderson to PHO,-1751,-62616
176,2018-08-31 00:00:00,added De'Anthony Melton to PHO,0,-62616
177,2018-09-21 00:00:00,added De'Anthony Melton to PHO,-2656,-65273
