,team_shortcode,team,start_year,end_year,name,href,draft_total_bpm,draft_total_vorp,trade_total_bpm,trade_total_vorp,signing_total_bpm,signing_total_vorp,final_bpm,final_vorp,draft_rating_vorp,draft_rating_bpm,draft_num_players,trade_num,signing_num_players,trade_rating_vorp,trade_rating_bpm,signing_rating_vorp,signing_rating_bpm,draft_rating_percentile_vorp,draft_rating_grade_vorp,trade_rating_percentile_vorp,trade_rating_grade_vorp,signing_rating_percentile_vorp,signing_rating_grade_vorp,draft_rating_percentile_bpm,draft_rating_grade_bpm,trade_rating_percentile_bpm,trade_rating_grade_bpm,signing_rating_percentile_bpm,signing_rating_grade_bpm,is_noob,is_active,bpm_rank,vorp_rank
91,"['MIN', 'DET']","['Minnesota Timberwolves', 'Detroit Pistons']",1992,1995,Billy McKinney,/executives/mckinbi01x.html,20743.79999999999,42.4,-21170.199999999997,-12.700000000000001,-87404.49999999994,6.400000000000006,-87830.89999999995,36.1,-4.75,-7.25,8,50,35,-0.375,-0.375,-0.14285714285714285,-0.6285714285714286,30.275229357798164,D,7.971014492753623,F,23.841059602649008,D-,24.770642201834864,D-,7.971014492753623,F,13.245033112582782,F,False,False,132.0,54.0
92,['SAC'],['Sacramento Kings'],2020,2026,Monte McNair,/executives/mcnaimo99x.html,-21575.8,3.0999999999999996,39552.841994286726,9.96885490423542,-21494.099999999988,6.699999999999996,-3517.0580057132584,19.768854904235415,-1.75,-1.75,8,80,71,0.20833333333333334,0.041666666666666664,0.0,-0.34375,41.28440366972477,C-,84.78260869565217,A-,68.87417218543047,B,49.54128440366973,C,53.6231884057971,C+,71.52317880794702,B,False,True,67.0,75.0
93,['NYK'],['New York Knicks'],2017,2020,Steve Mills,/executives/millsst99x.html,-24164.399999999998,4.900000000000002,7668.000000000002,-5.0,-35856.90000000002,14.8,-52353.30000000002,14.700000000000003,,,3,24,48,-0.16666666666666666,0.16666666666666666,0.06666666666666667,-0.3111111111111111,,,21.73913043478261,D-,78.80794701986756,B+,,,76.81159420289855,B+,79.47019867549669,B+,True,False,114.0,87.0
94,"['HOU', 'PHI']","['Houston Rockets', 'Philadelphia 76ers']",2020,2026,Daryl Morey,/executives/moreyda99x.html,11064.700000000004,32.59999999999999,104708.08704461507,-18.928433448666233,-14043.999999999949,74.20000000000002,101728.78704461512,87.87156655133379,10.24,13.08,25,301,261,-0.03409090909090909,0.14772727272727273,0.06557377049180328,-0.35655737704918034,92.66055045871559,A,42.028985507246375,C-,78.1456953642384,B+,97.24770642201835,S,73.91304347826087,B+,68.21192052980132,B,False,True,25.0,21.0
95,['GSW'],['Golden State Warriors'],2004,2009,Chris Mullin,/executives/mullich01x.html,-17095.099999999995,11.2,7150.999999999998,-10.299999999999997,-14103.699999999993,11.099999999999998,-24047.799999999992,11.999999999999998,-4.222222222222222,-4.0,9,46,24,-0.45454545454545453,-0.09090909090909091,0.041666666666666664,-0.5,33.944954128440365,D+,2.1739130434782608,F-,74.17218543046357,B+,33.944954128440365,D+,30.434782608695652,D,40.397350993377486,C-,False,False,92.0,90.0
96,['GSW'],['Golden State Warriors'],2012,2023,Bob Myers,/executives/myersbo99x.html,5569.600000000015,36.6,11306.300000000003,-6.700000000000001,-4896.700000000003,38.800000000000004,11979.200000000015,68.7,3.4,-1.8666666666666667,15,79,149,-0.06666666666666667,0.13333333333333333,0.15942028985507245,-0.21739130434782608,66.05504587155963,B-,37.68115942028985,D+,88.74172185430463,A,48.62385321100918,C,71.73913043478261,B,85.43046357615894,A-,False,False,49.0,31.0
97,"['PHI', 'WAS', 'BRK', 'POR']","['Philadelphia 76ers', 'Washington Wizards', 'Brooklyn Nets', 'Portland Trail Blazers']",2003,2006,John Nash,/executives/nashjo99x.html,-62336.59999999999,-1.7999999999999998,5219.500000000003,-7.4999999999999964,-74629.2,6.5000000000000036,-131746.3,-2.7999999999999927,-12.7,-13.5,10,102,96,0.1875,0.25,-0.11702127659574468,-0.3404255319148936,6.422018348623853,F,81.8840579710145,A-,32.450331125827816,D,9.174311926605505,F,86.95652173913044,A-,72.8476821192053,B,False,False,147.0,127.0
98,"['MIL', 'GSW', 'DAL']","['Milwaukee Bucks', 'Golden State Warriors', 'Dallas Mavericks']",1997,2005,Don Nelson,/executives/nelsodo01x.html,202632.40000000002,142.4,47111.59999999998,-28.09999999999998,-106867.19999999998,17.099999999999994,142876.80000000002,131.40000000000003,3.533333333333333,-2.6666666666666665,30,258,155,-0.024096385542168676,-0.024096385542168676,-0.11038961038961038,-0.5,66.97247706422019,B-,42.7536231884058,C-,35.76158940397351,D+,43.11926605504587,C-,40.57971014492754,C-,40.397350993377486,C-,False,False,16.0,12.0
99,['DAL'],['Dallas Mavericks'],2005,2021,Donn Nelson,/executives/nelsodo99x.html,-21877.9,2.7,97273.6,-4.4999999999999964,58544.99999999983,104.00000000000001,133940.69999999984,102.20000000000002,-4.75,0.25,8,194,178,0.06896551724137931,0.2413793103448276,0.09302325581395349,-0.3953488372093023,30.275229357798164,D,68.84057971014492,B,83.44370860927152,A-,55.96330275229358,C+,86.23188405797102,A-,61.58940397350993,B-,False,False,17.0,15.0
100,['MIN'],['Minnesota Timberwolves'],2015,2016,Milt Newton,/executives/newtomi01x.html,0.0,0.0,0.0,0.0,-1056.0,-0.2,-1056.0,-0.2,,,0,0,2,,,,,,,,,,,,,,,,,True,False,65.0,119.0
101,['UTA'],['Utah Jazz'],1999,2012,Kevin O'Connor,/executives/oconnke99x.html,8181.299999999999,51.79999999999999,54339.200000000004,16.299999999999997,-87809.90000000004,23.499999999999993,-25289.400000000034,91.59999999999998,2.857142857142857,1.5714285714285714,21,82,56,0.48,0.12,-0.2857142857142857,-0.6785714285714286,63.30275229357798,B-,96.3768115942029,A+,8.609271523178808,F,61.46788990825688,B-,68.84057971014492,B,7.28476821192053,F,False,False,93.0,19.0
102,"['LAC', 'POR']","['Los Angeles Clippers', 'Portland Trail Blazers']",2012,2021,Neil Olshey,/executives/olshene99x.html,105545.40000000004,62.8,114288.59999999999,11.30000000000001,-113208.99999999996,11.900000000000006,106625.00000000007,86.00000000000001,0.7857142857142857,-2.0714285714285716,14,118,95,0.14634146341463414,0.024390243902439025,-0.045454545454545456,-0.4659090909090909,47.706422018348626,C,78.26086956521739,B+,51.65562913907285,C,45.87155963302752,C-,52.17391304347826,C,46.35761589403973,C-,False,False,24.0,22.0
103,"['HOU', 'POR']","['Houston Rockets', 'Portland Trail Blazers']",2006,2007,Steve Patterson,/executives/pattest99x.html,3201.499999999999,9.2,132121.30000000002,62.3,-14859.699999999983,4.199999999999978,120463.10000000003,75.69999999999997,6.0,12.166666666666666,6,48,22,0.6470588235294118,0.5294117647058824,-0.14285714285714285,-0.5238095238095238,78.89908256880734,B+,97.82608695652173,S,23.841059602649008,D-,95.41284403669725,A+,96.3768115942029,A+,31.788079470198674,D,False,False,20.0,30.0
104,['CLE'],['Cleveland Cavaliers'],1999,2005,Jim Paxson,/executives/paxsoji02x.html,292793.7,100.4,-39818.999999999985,2.799999999999999,-50864.40000000002,-5.0999999999999375,202110.30000000002,98.10000000000007,-3.6363636363636362,-3.5454545454545454,11,69,37,-0.5,-0.4,-0.2972972972972973,-0.32432432432432434,34.862385321100916,D+,1.4492753623188406,F-,7.947019867549669,F,37.61467889908257,D+,7.246376811594203,F,78.1456953642384,B+,False,False,9.0,17.0
105,['CHI'],['Chicago Bulls'],2003,2009,John Paxson,/executives/paxsojo01x.html,83758.40000000001,59.60000000000001,-39951.0,-25.700000000000006,-23806.400000000023,6.499999999999986,20000.99999999999,40.399999999999984,1.0,-4.666666666666667,6,74,34,-0.1111111111111111,-0.2222222222222222,-0.11764705882352941,-0.6764705882352942,49.54128440366973,C,26.81159420289855,D-,31.788079470198674,D,33.027522935779814,D+,18.840579710144926,F,7.947019867549669,F,False,False,46.0,49.0
106,['LAL'],['Los Angeles Lakers'],2019,2026,Rob Pelinka,/executives/pelinro99x.html,-16609.5,-1.3,21300.5081171463,-27.61710098876976,-18906.700000000004,34.5,-14215.691882853704,5.582899011230242,2.6666666666666665,0.6666666666666666,6,67,108,-0.26666666666666666,0.0,-0.01904761904761905,-0.5619047619047619,60.55045871559633,B-,14.492753623188406,F,56.29139072847682,C+,58.71559633027523,C+,50.72463768115942,C,21.85430463576159,D-,False,True,78.0,107.0
107,['NYK'],['New York Knicks'],2020,2020,Scott Perry,/executives/perrysc99x.html,0.0,0.0,5863.9,-1.2000000000000002,0.0,0.0,5863.9,-1.2000000000000002,,,0,5,0,,,,,,,,,,,,,,,,,True,False,56.0,125.0
108,"['POR', 'SAC']","['Portland Trail Blazers', 'Sacramento Kings']",1994,2013,Geoff Petrie,/executives/petrige01x.html,-47944.9,63.79999999999999,97172.70000000001,42.0,-74773.90000000002,31.20000000000001,-25546.10000000001,137.0,4.103448275862069,2.413793103448276,29,135,91,0.043478260869565216,0.06521739130434782,-0.1348314606741573,-0.5393258426966292,71.55963302752293,B,63.04347826086956,B-,26.490066225165563,D-,67.88990825688073,B,55.79710144927536,C+,27.1523178807947,D,False,False,94.0,10.0
109,['MIA'],['Miami Heat'],1996,2008,Randy Pfund,/executives/pfundra99x.html,144947.3,64.60000000000001,16815.500000000022,8.7,-166188.3,12.600000000000023,-4425.4999999999945,85.90000000000003,7.923076923076923,8.615384615384615,13,87,98,-0.043478260869565216,-0.17391304347826086,-0.10309278350515463,-0.422680412371134,85.3211009174312,A-,39.130434782608695,D+,37.74834437086093,D+,83.4862385321101,A-,21.73913043478261,D-,54.3046357615894,C+,False,False,70.0,23.0
